time_ms,cwnd_mss,ssthresh_mss,reno_state,event
0,2,64,SLOW_START,receive ack in TCP_RENO_SLOW_START
75,3,64,SLOW_START,receive ack in TCP_RENO_SLOW_START
136,4,64,SLOW_START,receive ack in TCP_RENO_SLOW_START
181,5,64,SLOW_START,receive ack in TCP_RENO_SLOW_START
232,6,64,SLOW_START,receive ack in TCP_RENO_SLOW_START
283,7,64,SLOW_START,receive ack in TCP_RENO_SLOW_START
334,8,64,SLOW_START,receive ack in TCP_RENO_SLOW_START
384,9,64,SLOW_START,receive ack in TCP_RENO_SLOW_START
435,10,64,SLOW_START,receive ack in TCP_RENO_SLOW_START
485,11,64,SLOW_START,receive ack in TCP_RENO_SLOW_START
549,12,64,SLOW_START,receive ack in TCP_RENO_SLOW_START
587,13,64,SLOW_START,receive ack in TCP_RENO_SLOW_START
639,14,64,SLOW_START,receive ack in TCP_RENO_SLOW_START
689,15,64,SLOW_START,receive ack in TCP_RENO_SLOW_START
740,16,64,SLOW_START,receive ack in TCP_RENO_SLOW_START
791,17,64,SLOW_START,receive ack in TCP_RENO_SLOW_START
849,18,64,SLOW_START,receive ack in TCP_RENO_SLOW_START
899,19,64,SLOW_START,receive ack in TCP_RENO_SLOW_START
947,20,64,SLOW_START,receive ack in TCP_RENO_SLOW_START
997,21,64,SLOW_START,receive ack in TCP_RENO_SLOW_START
1049,22,64,SLOW_START,receive ack in TCP_RENO_SLOW_START
1119,23,64,SLOW_START,receive ack in TCP_RENO_SLOW_START
1149,24,64,SLOW_START,receive ack in TCP_RENO_SLOW_START
1206,25,64,SLOW_START,receive ack in TCP_RENO_SLOW_START
1250,26,64,SLOW_START,receive ack in TCP_RENO_SLOW_START
1303,27,64,SLOW_START,receive ack in TCP_RENO_SLOW_START
1352,28,64,SLOW_START,receive ack in TCP_RENO_SLOW_START
1404,29,64,SLOW_START,receive ack in TCP_RENO_SLOW_START
1454,30,64,SLOW_START,receive ack in TCP_RENO_SLOW_START
1505,31,64,SLOW_START,receive ack in TCP_RENO_SLOW_START
1555,32,64,SLOW_START,receive ack in TCP_RENO_SLOW_START
1759,19,16,FAST_RECOVERY,TCP_CONGESTION into FAST_RECOVERY
1780,16,16,CONGESTION_AVOIDANCE,"cwnd >= recovery_point, change to TCP_RENO_CONGESTION_AVOIDANCE"
1781,16,16,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
1830,16,16,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
1882,16,16,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
1933,16,16,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
1983,16,16,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
2040,16,16,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
2083,16,16,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
2134,16,16,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
2185,16,16,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
2260,16,16,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
2286,16,16,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
2338,16,16,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
2385,16,16,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
2436,16,16,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
2487,16,16,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
2536,16,16,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
2634,17,16,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
2675,17,16,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
2758,17,16,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
2789,17,16,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
2843,17,16,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
2892,17,16,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
3093,11,8,FAST_RECOVERY,TCP_CONGESTION into FAST_RECOVERY
3114,8,8,CONGESTION_AVOIDANCE,"cwnd >= recovery_point, change to TCP_RENO_CONGESTION_AVOIDANCE"
3114,8,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
3144,8,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
3194,8,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
3250,9,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
3301,9,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
